Atlas id,Acryonm,[stim] fraction of significance,[stim] lower CL,,[choice] fraction of significance,[choice] lower CL,,[block] fraction of significance,[block] lower CL,,[feeback]fracion of significance,[feeback] lower CL
609,SPA,,,,,,,,,,,
1044,PP,,,,,,,,,,,
475,MG,0.038167939,0.015844109,,0.06870229,0.035910711,,0.083969466,0.046849119,,0.837238613,0.700800868
170,LGd,0.131455399,0.026972436,,0.056338028,0.032165095,,0.028169014,0.012651029,,0.866405271,0.791789207
218,LP,0.08131068,0.04588208,,0.080097087,0.063391339,,0.042475728,0.018038656,,0.901186712,0.856810797
1020,PO,0.061787072,0.048727683,,0.104562738,0.076372746,,0.051330798,0.028729764,,0.915939537,0.886768862
1029,POL,0.06557377,0.024330248,,0.245901639,0.137504146,,0.06557377,0.024330248,,0.629922872,0.280188325
325,SGN,0.109375,0.029661548,,0.0625,0.023203191,,0.046875,0.008808058,,0.934782602,0.811511905
560581551,Eth,0.069767442,0.039884149,,0.081395349,0.048615747,,0.023255814,0.00869463,,0.913590521,0.858955003
255,AV,0.053571429,0.016939691,,0.125,0.026016088,,0.048192771,0.005199072,,0.903614456,0.81729922
127,AM,0.090909091,0.040788614,,0.090909091,0.040788611,,0.015151515,0.002052115,,0.944434297,0.560118947
64,AD,,,,,,,,,,,
1120,IAM,,,,,,,,,,,
1113,IAD,,,,,,,,,,,
155,LD,0.054421769,0.018818402,,0.102040816,0.062195679,,0.027210884,0.010166403,,0.8707483,0.805604666
59,IMD,,,,,,,,,,,
362,MD,0.094771242,0.066559585,,0.088235294,0.061112807,,0.035947712,0.015107351,,0.910447758,0.862001231
366,SMT,0,0,,0.08,0.029600684,,0,0,,0.92,0.801354808
1077,PR,,,,,,,,,,,
149,PVT,0.050847458,0.016095588,,0.118644068,0.044561427,,0.050847458,0.016095587,,0.813559328,0.690866573
15,PT,,,,,,,,,,,
181,RE,,,,,,,,,,,
560581559,Xi,,,,,,,,,,,
189,RH,,,,,,,,,,,
599,CM,,,,,,,,,,,
907,PCN,,,,,,,,,,,
575,CL,,,,,,,,,,,
930,PF,,,,,,,,,,,
560581563,PIL,,,,,,,,,,,
262,RT,0.054054054,0.01291095,,0.27027027,0.133460588,,0.027027027,0.003541744,,0.999999985,0
27,IGL,,,,,,,,,,,
563807439,IntG,,,,,,,,,,,
178,LGv,0,0,,0.105263158,0.038750154,,0.026315789,0.003455561,,0.57894737,0.414041946
321,SubG,,,,,,,,,,,
483,MH,,,,,,,,,,,
186,LH,,,,,,,,,,,
390,SO,,,,,,,,,,,
38,PVH,,,,,,,,,,,
30,PVa,,,,,,,,,,,
118,PVi,,,,,,,,,,,
223,ARH,,,,,,,,,,,
72,ADP,,,,,,,,,,,
263,AVP,,,,,,,,,,,
272,AVPV,,,,,,,,,,,
830,DMH,,,,,,,,,,,
452,MEPO,,,,,,,,,,,
523,MPO,0,0,,0.086956522,0.010439036,,0.043478261,0.005423772,,0.654808315,0.285580368
1109,PS,,,,,,,,,,,
126,PVp,,,,,,,,,,,
133,PVpo,,,,,,,,,,,
347,SBPV,,,,,,,,,,,
286,SCH,,,,,,,,,,,
