,pid,Beryl,nclus,#pids
254,aeb06797-fddf-4ad2-b0ef-dd1b0f54d034,MRN,23,74
255,aeb06797-fddf-4ad2-b0ef-dd1b0f54d034,PPN,14,8
256,aeb06797-fddf-4ad2-b0ef-dd1b0f54d034,PAG,18,36
259,5e84c8e7-236f-4a64-a944-dc4a17c64f1d,VAL,18,7
260,5e84c8e7-236f-4a64-a944-dc4a17c64f1d,AV,17,6
263,8fbfa285-d721-4a1a-8c18-f36652c17909,LGd,25,20
266,8fbfa285-d721-4a1a-8c18-f36652c17909,VISrl,30,5
268,53b58cc3-8d88-4257-aa63-48da088f2091,MEA,24,9
270,53b58cc3-8d88-4257-aa63-48da088f2091,RT,19,16
273,00a824c0-e060-495f-9ebc-79c82fef4c67,SCm,18,38
275,00a824c0-e060-495f-9ebc-79c82fef4c67,RSPv,17,20
277,00a824c0-e060-495f-9ebc-79c82fef4c67,RSPagl,25,16
279,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,GRN,15,12
280,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,PRP,10,6
282,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,NOD,21,9
284,e070023a-2a5d-4398-ad66-f9ed5d517ad1,IRN,14,22
288,e070023a-2a5d-4398-ad66-f9ed5d517ad1,SPIV,11,10
291,e070023a-2a5d-4398-ad66-f9ed5d517ad1,CUL4 5,21,25
294,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,APN,22,40
296,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,CA1,22,118
297,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,VISpm,37,11
298,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,VISam,26,16
299,45c49ba2-a113-4446-9c6d-9b049c1f9f74,RT,54,16
306,f86e9571-63ff-4116-9c40-aa44d57d2da9,VISa,20,41
307,f86e9571-63ff-4116-9c40-aa44d57d2da9,VISam,13,16
308,fd555d39-b728-44aa-90d2-796b8bb58300,PAA,34,3
311,fd555d39-b728-44aa-90d2-796b8bb58300,CP,69,58
315,531423f6-d36d-472b-8234-c8f7b8293f79,LP,13,59
318,531423f6-d36d-472b-8234-c8f7b8293f79,VISa,41,41
