,eid,label,mp4,timestamps,frames_match,dlc,features,licks,duration,videoQC,dlcQC,videoQC_focus,videoQC_position,videoQC_framerate,videoQC_pin_state,videoQC_brightness,videoQC_resolution,videoQC_timestamps,videoQC_camera_times,videoQC_file_headers,videoQC_dropped_frames,videoQC_wheel_alignment,dlcQC_paw_far_nan,dlcQC_mean_in_bbox,dlcQC_paw_close_nan,dlcQC_pupil_blocked,dlcQC_trace_all_nan,dlcQC_lick_detection,dlcQC_pupil_diameter_snr,dlcQC_time_trace_length_match
694,88224abb-5746-431f-9c17-17d7ef806e6a,right,True,True,True,True,True,True,4700.0,PASS,PASS,True,True,"[True, 150.769]","[True, 0, 0]",True,True,True,"[True, 0]",True,"[True, 49, 0]","[True, 0]",True,True,True,True,True,True,"[False, 1.515]",True
695,88224abb-5746-431f-9c17-17d7ef806e6a,body,True,True,True,True,False,True,4711.0,WARNING,PASS,True,True,"[True, 30.154]","[True, 0, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,True,,,True,,,True
696,7cec9792-b8f9-4878-be7e-f08103dc0323,left,True,True,True,True,True,True,4264.0,WARNING,PASS,True,True,"[True, 60.126]","[True, 1, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]","[True, 0]",True,True,True,True,True,True,"[False, 0.589]",True
697,7cec9792-b8f9-4878-be7e-f08103dc0323,right,True,True,True,True,True,True,4269.0,WARNING,PASS,True,True,"[True, 150.769]","[True, 1, 0]",True,True,True,"[True, 0]",True,"[True, 41, 0]","[True, -1]",True,True,True,True,True,True,"[False, 3.219]",True
698,7cec9792-b8f9-4878-be7e-f08103dc0323,body,True,True,True,True,False,True,4279.0,WARNING,PASS,True,True,"[True, 30.154]","[True, 1, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,True,,,True,,,True
699,0802ced5-33a3-405e-8336-b65ebc5cb07c,left,True,True,True,True,True,True,3857.0,WARNING,PASS,True,True,"[True, 60.126]","[True, 4, 1]",True,True,True,"[True, 1]",True,"[True, 0, 1]","[True, 7]",True,True,True,True,True,True,"[True, 16.312]",True
700,0802ced5-33a3-405e-8336-b65ebc5cb07c,right,True,True,True,True,True,True,3861.0,WARNING,PASS,True,True,"[True, 150.769]","[True, 4, 0]",True,True,True,"[True, 0]",True,"[True, 37, 0]","[True, 2]",True,True,True,True,True,True,"[False, 3.251]",True
701,0802ced5-33a3-405e-8336-b65ebc5cb07c,body,True,True,True,True,False,True,3870.0,WARNING,PASS,True,True,"[True, 30.154]","[True, 5, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,True,,,True,,,True
702,dd4da095-4a99-4bf3-9727-f735077dba66,left,True,True,False,True,True,True,6351.0,FAIL,FAIL,True,True,"[True, 60.12]",,True,False,False,"[True, 1]",True,,,False,False,False,False,False,True,"[True, None]",False
703,dd4da095-4a99-4bf3-9727-f735077dba66,right,True,True,True,True,True,True,511.0,PASS,FAIL,True,True,"[True, 150.0]",,True,True,True,"[True, 0]",True,,,False,True,False,True,False,True,"[False, 2.45]",True
704,dd4da095-4a99-4bf3-9727-f735077dba66,body,True,True,False,True,False,True,5103.0,FAIL,FAIL,True,True,"[True, 30.151]",,True,False,False,"[True, 0]",True,,,,False,,,True,,,False
705,e5fae088-ed96-4d9b-82f9-dfd13c259d52,left,True,True,True,True,True,True,360.0,WARNING,FAIL,True,True,"[True, 60.12]",,True,True,True,"[True, -20]",True,,,False,True,True,True,True,True,"[False, 4.6]",True
706,e5fae088-ed96-4d9b-82f9-dfd13c259d52,right,True,True,False,True,True,True,362.0,NOT_COMPUTED,FAIL,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,True,True,True,True,True,True,"[True, 5.221]",False
707,e5fae088-ed96-4d9b-82f9-dfd13c259d52,body,True,True,False,True,False,True,362.0,NOT_COMPUTED,FAIL,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,True,,,True,,,False
