Session ID,Probe ID,Quality (Raw data),Quality (Spike sorting),Discontinuity,Jitter,Horizontal band,Loss of spikes
93ad879a-aa42-4150-83e1-38773c9785e4,9991277b-9e8e-4db8-b8a6-e2c0176ef9ad,PASS,FAIL,False,True,False,False
3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b,aeb06797-fddf-4ad2-b0ef-dd1b0f54d034,PASS,WARNING,False,False,False,False
034e726f-b35f-41e0-8d6c-a22cc32391fb,5e84c8e7-236f-4a64-a944-dc4a17c64f1d,PASS,PASS,False,False,False,False
034e726f-b35f-41e0-8d6c-a22cc32391fb,8fbfa285-d721-4a1a-8c18-f36652c17909,PASS,PASS,False,False,False,False
dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,53b58cc3-8d88-4257-aa63-48da088f2091,PASS,WARNING,False,True,False,False
fa704052-147e-46f6-b190-a65b837e605e,00a824c0-e060-495f-9ebc-79c82fef4c67,PASS,PASS,False,False,False,False
fa704052-147e-46f6-b190-a65b837e605e,7791ee46-5c13-4d1b-8518-5602dcb8666b,PASS,PASS,False,True,False,True
46794e05-3f6a-4d35-afb3-9165091a5a74,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,PASS,FAIL,False,True,False,True
7939711b-8b4d-4251-b698-b97c1eaa846e,e070023a-2a5d-4398-ad66-f9ed5d517ad1,PASS,FAIL,False,True,False,False
b52182e7-39f6-4914-9717-136db589706e,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,PASS,PASS,False,False,False,False
2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,45c49ba2-a113-4446-9c6d-9b049c1f9f74,PASS,PASS,False,False,False,False
2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,dec6ad00-01c8-4bfd-bcdc-b37c5e0cdb0e,PASS,PASS,False,False,False,False
4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,f86e9571-63ff-4116-9c40-aa44d57d2da9,PASS,PASS,False,False,False,False
4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,fd555d39-b728-44aa-90d2-796b8bb58300,PASS,PASS,False,False,False,False
c99d53e6-c317-4c53-99ba-070b26673ac4,531423f6-d36d-472b-8234-c8f7b8293f79,PASS,PASS,False,False,False,False
d839491f-55d8-4cbe-a298-7839208ba12b,ae2b9f1b-ebe3-4b56-8957-31982186e6ec,PASS,PASS,False,False,False,False
d839491f-55d8-4cbe-a298-7839208ba12b,c536b0a9-b710-43c3-ba2c-5a0cccf98ec2,PASS,PASS,False,False,False,False
ecb5520d-1358-434c-95ec-93687ecd1396,e55266c7-eb05-47bb-b263-1cc08dc3c00c,PASS,PASS,False,False,False,False
ecb5520d-1358-434c-95ec-93687ecd1396,f2ee886d-5b9c-4d06-a9be-ee7ae8381114,PASS,PASS,False,False,False,False
3663d82b-f197-4e8b-b299-7b803a155b84,04690e35-ab38-41db-982c-50cbdf8d0dd1,PASS,N.A.,False,False,False,False
3663d82b-f197-4e8b-b299-7b803a155b84,b46e219c-6a87-4a93-9924-1070841381e9,PASS,PASS,False,False,False,False
5386aba9-9b97-4557-abcd-abc2da66b863,5810514e-2a86-4a34-b7bd-1e4b0b601295,WARNING,PASS,False,False,False,False
83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,1841cf1f-725d-499e-ab8e-7f6fc8c308b6,WARNING,PASS,False,False,False,False
83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,220bca21-4cf8-43f1-a213-71645899c571,PASS,PASS,False,False,False,False
4b00df29-3769-43be-bb40-128b1cba6d35,461ecb39-ab58-4a6c-acd7-22da5b4b4b22,WARNING,PASS,False,False,False,False
4b00df29-3769-43be-bb40-128b1cba6d35,8d59da25-3a9c-44be-8b1a-e27cdd39ca34,PASS,PASS,False,False,False,False
12dc8b34-b18e-4cdd-90a9-da134a9be79c,43d4f889-4b05-44df-8306-ea10f854776f,PASS,PASS,False,False,False,False
0deb75fb-9088-42d9-b744-012fb8fc4afb,188fe7d5-fd1c-494f-88bc-672d77b9779e,PASS,PASS,False,False,False,True
eef82e27-c20e-48da-b4b7-c443031649e3,0ce74616-abf8-47c2-86d9-f821cd25efd3,PASS,FAIL,False,True,False,False
810b1e07-009e-4ebe-930a-915e4cd8ece4,04db6b9e-a80c-4507-a98e-ad76294ac444,PASS,FAIL,False,True,False,False
a71175be-d1fd-47a3-aa93-b830ea3634a1,e10a7a75-4740-41d1-82bb-7696ed14c442,PASS,N.A.,False,False,False,False
0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,0eb65305-bb95-4bf1-a154-1b810c0cff25,PASS,PASS,False,False,False,False
0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,f9656eee-141c-453d-a016-4aba68f674dc,PASS,PASS,False,False,False,False
