,eid,Paw,Pupil,Nose_tip,Licks
87,fb70ebf7-8175-42b0-9b7a-7c6e8612226e,PASS,WARNING,PASS,PASS
88,fb70ebf7-8175-42b0-9b7a-7c6e8612226e,PASS,WARNING,PASS,PASS
89,28741f91-c837-4147-939e-918d38d849f2,PASS,WARNING,PASS,PASS
90,28741f91-c837-4147-939e-918d38d849f2,PASS,WARNING,PASS,PASS
91,d2f5a130-b981-4546-8858-c94ae1da75ff,PASS,WARNING,PASS,PASS
92,d2f5a130-b981-4546-8858-c94ae1da75ff,PASS,WARNING,PASS,PASS
93,57b5ae8f-d446-4161-b439-b191c5e3e77b,PASS,WARNING,PASS,PASS
94,57b5ae8f-d446-4161-b439-b191c5e3e77b,PASS,WARNING,PASS,PASS
95,dda5fc59-f09a-4256-9fb5-66c67667a466,PASS,WARNING,PASS,PASS
96,dda5fc59-f09a-4256-9fb5-66c67667a466,PASS,WARNING,PASS,PASS
97,d16a9a8d-5f42-4b49-ba58-1746f807fcc1,PASS,WARNING,PASS,PASS
98,37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,PASS,PASS,PASS,PASS
99,37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,PASS,PASS,PASS,PASS
100,2e6e179c-fccc-4e8f-9448-ce5b6858a183,PASS,PASS,PASS,PASS
101,2e6e179c-fccc-4e8f-9448-ce5b6858a183,PASS,PASS,PASS,PASS
102,1191f865-b10a-45c8-9c48-24a980fd9402,PASS,WARNING,PASS,PASS
103,1191f865-b10a-45c8-9c48-24a980fd9402,PASS,WARNING,PASS,PASS
104,f10efe41-0dc0-44d0-8f26-5ff68dca23e9,PASS,FAIL,PASS,PASS
105,f10efe41-0dc0-44d0-8f26-5ff68dca23e9,PASS,FAIL,PASS,PASS
106,6364ff7f-6471-415a-ab9e-632a12052690,PASS,FAIL,PASS,PASS
107,7be8fec4-406b-4e74-8548-d2885dcc3d5e,PASS,WARNING,PASS,PASS
108,7be8fec4-406b-4e74-8548-d2885dcc3d5e,PASS,WARNING,PASS,PASS
109,d57df551-6dcb-4242-9c72-b806cff5613a,,,,PASS
110,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,FAIL,FAIL,FAIL,FAIL
111,824cf03d-4012-4ab1-b499-c83a92c5589e,PASS,WARNING,PASS,PASS
112,1f095590-6669-46c9-986b-ccaf0620c5e9,,,,WARNING
113,03d9a098-07bf-4765-88b7-85f8d8f620cc,,,,PASS
114,0c828385-6dd6-4842-a702-c5075f5f5e81,FAIL,FAIL,FAIL,FAIL
115,bb099402-fb31-4cfd-824e-1c97530a0875,,,,FAIL
116,111c1762-7908-47e0-9f40-2f2ee55b6505,,,,FAIL
117,111c1762-7908-47e0-9f40-2f2ee55b6505,,,,FAIL
118,5455a21c-1be7-4cae-ae8e-8853a8d5f55e,FAIL,FAIL,FAIL,FAIL
119,32d27583-56aa-4510-bc03-669036edad20,FAIL,FAIL,FAIL,FAIL
120,8a3a0197-b40a-449f-be55-c00b23253bbf,FAIL,FAIL,FAIL,FAIL
121,8a3a0197-b40a-449f-be55-c00b23253bbf,FAIL,FAIL,FAIL,FAIL
122,ebc9392c-1ecb-4b4b-a545-4e3d70d23611,FAIL,FAIL,FAIL,FAIL
123,19b44992-d527-4a12-8bda-aa11379cb08c,,,,FAIL
124,19b44992-d527-4a12-8bda-aa11379cb08c,,,,FAIL
125,3537d970-f515-4786-853f-23de525e110f,,,,FAIL
126,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,,,,WARNING
127,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,,,,WARNING
128,f99ac31f-171b-4208-a55d-5644c0ad51c3,,,,FAIL
129,e2b845a1-e313-4a08-bc61-a5f662ed295e,,,,FAIL
130,e2b845a1-e313-4a08-bc61-a5f662ed295e,,,,FAIL
131,2bdf206a-820f-402f-920a-9e86cd5388a4,,,,FAIL
132,2bdf206a-820f-402f-920a-9e86cd5388a4,,,,FAIL
133,fa8ad50d-76f2-45fa-a52f-08fe3d942345,FAIL,FAIL,FAIL,FAIL
134,8d316998-28c3-4265-b029-e2ca82375b2f,,,,FAIL
135,bda2faf5-9563-4940-a80f-ce444259e47b,,,,FAIL
136,16693458-0801-4d35-a3f1-9115c7e5acfd,,,,
137,16693458-0801-4d35-a3f1-9115c7e5acfd,,,,
138,e1931de1-cf7b-49af-af33-2ade15e8abe7,,,,
139,e1931de1-cf7b-49af-af33-2ade15e8abe7,,,,
140,b9c205c3-feac-485b-a89d-afc96d9cb280,,,,
141,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,,,,
142,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,,,,
143,16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,,,,
144,16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,,,,
145,dd87e278-999d-478b-8cbd-b5bf92b84763,,,,
146,dd87e278-999d-478b-8cbd-b5bf92b84763,,,,
147,15f742e1-1043-45c9-9504-f1e8a53c1744,,,,
148,15f742e1-1043-45c9-9504-f1e8a53c1744,,,,
149,a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,,,,
