source name,source #neur,target name,target #neur,Granger score,corrected p,eid
APN,67,DG,16,0.004447732208439776,0.014241301281867801,e2b845a1-e313-4a08-bc61-a5f662ed295e
APN,63,MRN,45,0.0044472384543785375,0.30568726224582027,2bdf206a-820f-402f-920a-9e86cd5388a4
MRN,35,MV,35,0.004445908555131015,0.014241301281867801,a7763417-e0d6-4f2a-aa55-e382fd9b5fb8
MRN,58,VISpm,46,0.004445140123530553,0.014241301281867801,bb099402-fb31-4cfd-824e-1c97530a0875
VISa,35,RN,29,0.004440395036528184,0.014241301281867801,4a45c8ba-db6f-4f11-9403-56e06a33dfa4
ICB,23,IP,38,0.004437761927424216,0.014241301281867801,7939711b-8b4d-4251-b698-b97c1eaa846e
MOp,139,CP,57,0.004437761271223104,1.0,81a78eac-9d36-4f90-a73a-7eb3ad7f770b
NOD,29,ICB,13,0.004435374582204219,0.014241301281867801,25d1920e-a2af-4b6c-9f2e-fc6c65576544
SCm,41,SCs,21,0.004434822777967922,0.014241301281867801,6274dda8-3a59-4aa1-95f8-a8a549c46a26
GRN,16,ORBl,40,0.004432080358584654,0.014241301281867801,2e6e179c-fccc-4e8f-9448-ce5b6858a183
PO,51,Eth,33,0.0044309723869242704,0.014241301281867801,cb2ad999-a6cb-42ff-bf71-1774c57e5308
MRN,12,CA1,13,0.004430908731332126,0.014241301281867801,49e0ab27-827a-4c91-bcaa-97eea27a1b8d
PARN,13,CUL4 5,112,0.0044273412107999795,0.674865847288608,6668c4a0-70a4-4012-a7da-709660971d7a
CS,12,MRN,24,0.0044258188166422085,0.014241301281867801,36573e0b-ddd6-4504-94ec-9a23c877486c
MOs,135,TTd,19,0.004422606234882114,0.014241301281867801,4d8c7767-981c-4347-8e5e-5d5fffe38534
VPM,52,PRNr,36,0.004421038766135719,0.014241301281867801,54238fd6-d2d0-4408-b1a9-d19d24fd29ce
LP,18,LH,15,0.004420465731940615,0.674865847288608,c557324b-b95d-414c-888f-6ee1329a2329
PAG,19,MRN,34,0.004414012286099251,0.014241301281867801,3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b
SSp-tr,39,AUDp,26,0.004413900692398243,0.10548360747277426,3f859b5c-e73a-4044-b49e-34bb81e96715
DN,76,VPM,58,0.004410890610483071,0.014241301281867801,5339812f-8b91-40ba-9d8f-a559563cc46b
TEa,16,AUDv,19,0.004408778204940998,0.014241301281867801,6b0b5d24-bcda-4053-a59c-beaa1fe03b8f
SSp-bfd,34,EPd,40,0.004407953920512977,1.0,25f77e81-c1af-46ab-8686-73ac3d67c4a7
SCm,48,CA3,16,0.004405594947626343,0.014241301281867801,eacc49a9-f3a1-49f1-b87f-0972f90ee837
ENTm,135,VISp,14,0.00440167809122993,0.014241301281867801,bda2faf5-9563-4940-a80f-ce444259e47b
RT,11,AM,33,0.004401068630830353,1.0,ebe2efe3-e8a1-451a-8947-76ef42427cc9
Eth,51,SMT,58,0.0044009377205503466,0.014241301281867801,ee40aece-cffd-4edb-a4b6-155f158c666a
CS,22,TRN,60,0.004392629576265464,1.0,a66f1593-dafd-4982-9b66-f9554b6c86b5
SNr,21,CA1,11,0.004392578509683556,0.014241301281867801,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4
MG,11,SGN,12,0.004390705888557953,0.014241301281867801,781b35fd-e1f0-4d14-b2bb-95b7263082bb
SUB,25,MOp,42,0.004390037133553935,0.014241301281867801,aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf
CP,17,VPL,19,0.004389352645019824,0.014241301281867801,ee13c19e-2790-4418-97ca-48f02e8013bb
ORBl,19,CP,65,0.004386870756468237,0.014241301281867801,360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7
VCO,45,CUL4 5,52,0.004385418523270359,0.014241301281867801,c16d3557-b2c1-4545-93d0-112ac0915d93
IP,14,ICB,15,0.004380998839875525,0.014241301281867801,004d8fd5-41e7-4f1b-a45b-0d4ad76fe446
AT,21,PRNr,32,0.004374971547998394,0.014241301281867801,58c4bf97-ec3b-45b4-9db4-d5d9515d5b00
MOB,125,FRP,23,0.004371822073358817,0.014241301281867801,4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a
ACB,81,MD,16,0.0043705936459602635,0.014241301281867801,2c44a360-5a56-4971-8009-f469fb59de98
SGN,12,LP,33,0.004362151737125668,0.014241301281867801,781b35fd-e1f0-4d14-b2bb-95b7263082bb
MOs,17,MOp,20,0.0043606927998179135,1.0,113c5b6c-940e-4b21-b462-789b4c2be0e5
DCO,59,DN,40,0.0043594784692699,0.014241301281867801,71855308-7e54-41d7-a7a4-b042e78e3b4f
IP,36,LAV,29,0.004356246286704685,0.014241301281867801,6668c4a0-70a4-4012-a7da-709660971d7a
TRN,18,SCm,14,0.0043551774574389565,1.0,993c7024-0abc-4028-ad30-d397ad55b084
DG,20,ProS,13,0.004353126867151818,0.014241301281867801,446f4724-1690-49f9-819a-2bd8e2ea88ce
IRN,18,VeCB,14,0.004346414163204846,0.26849669841896906,41431f53-69fd-4e3b-80ce-ea62e03bf9c7
APN,24,MRN,15,0.004345648866960516,0.014241301281867801,a2b9fbbe-79fc-4166-a16e-b307813a2f06
LSc,23,LSr,19,0.004343646147612707,0.014241301281867801,113c5b6c-940e-4b21-b462-789b4c2be0e5
AV,19,SSp-ll,24,0.004342869992506096,0.014241301281867801,741979ce-3f10-443a-8526-2275620c8473
CUL4 5,52,CENT3,41,0.004340784358138854,1.0,c16d3557-b2c1-4545-93d0-112ac0915d93
RSPd,17,CP,51,0.004339107941380407,0.014241301281867801,6f36868f-5cc1-450c-82fa-6b9829ce0cfe
PARN,33,NOD,14,0.004337793730089408,0.014241301281867801,c728f6fd-58e2-448d-aefb-a72c637b604c
CP,35,MOp,54,0.004336433871677498,0.014241301281867801,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8
MD,50,CA3,21,0.004335197540937557,0.014241301281867801,5adab0b7-dfd0-467d-b09d-43cb7ca5d59c
MD,61,APN,74,0.004334715520910442,0.014241301281867801,f8d5c8b0-b931-4151-b86c-c471e2e80e5d
SSp-tr,37,CM,29,0.0043346233266877525,1.0,510b1a50-825d-44ce-86f6-9678f5396e02
PRNr,32,MD,24,0.004333392244897367,0.014241301281867801,3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b
VPM,15,LP,72,0.004332985077179186,1.0,746d1902-fa59-4cab-b0aa-013be36060d5
AM,25,AV,35,0.0043328186855355975,0.663777391805024,7f150b7c-c261-46e6-9edb-cc391c9d9f03
SPIV,25,PARN,15,0.004330699901126036,0.014241301281867801,7939711b-8b4d-4251-b698-b97c1eaa846e
SPIV,32,FN,36,0.004330020990781149,0.02767001237569209,56bc129c-6265-407a-a208-cc16d20a6c01
