,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
76,BMA,0.00012643354795237826,True,5.0,22.2,0.0703674623520476,0.558448275862069,0.06380582154219544,0.6,0.6852813852813853,0.4951029129600559
77,PA,0.2798404138191642,False,3.0,19.0,0.032833051455041604,0.4963102998696219,0.0013494128034716724,0.0,,0.4935396825396825
78,CP,4.227911903663207e-45,True,40.0,40.225,0.12910092130670642,0.8720247438025253,0.37478964482832655,0.975,0.8992327998680085,0.497738809574382
79,ACB,5.731237178743882e-13,True,10.0,19.2,0.12094269102508548,0.7458765369505445,0.2486801545751182,1.0,0.7458765369505445,0.4949473203253195
80,FS,,,,,,,,,,
81,OT,0.04110888140817959,True,3.0,12.0,0.08882200440715661,0.501564558629776,0.015616704985293217,0.3333333333333333,0.6756134969325154,0.491773340160437
82,LSc,,,,,,,,,,
83,LSr,1.0819289049242072e-18,True,22.0,34.59090909090909,0.09071210275423029,0.6328820810381144,0.1409127743831597,0.7272727272727273,0.65227402578524,0.4951056346757644
84,LSv,0.0011083800778363497,True,3.0,18.666666666666668,0.06891401759542634,0.6070116835972057,0.10911412646560609,0.6666666666666666,0.6294798677726288,0.4958139534883721
85,SF,,,,,,,,,,
86,SH,,,,,,,,,,
87,AAA,,,,,,,,,,
88,BA,,,,,,,,,,
89,CEA,0.0011537477300070421,True,3.0,31.333333333333332,0.18258689222006447,0.5652597402597402,0.07013081947292477,0.6666666666666666,0.744816306280766,0.4951289207868155
90,IA,,,,,,,,,,
91,MEA,0.0007813502316856877,True,4.0,23.75,0.15720451133286129,0.5552289789157121,0.0595004455730575,0.5,0.7448485899774437,0.4956375678006304
92,GPe,7.341468005672679e-08,True,5.0,17.6,0.10055390276590961,0.769569099378882,0.2790943160849498,1.0,0.769569099378882,0.4929057017543859
93,GPi,,,,,,,,,,
94,SI,7.341468005672679e-08,True,5.0,12.8,0.07840846049908841,0.8379830917874396,0.3365498403541881,1.0,0.8379830917874396,0.4974874715261957
95,MA,,,,,,,,,,
96,MS,1.7667732719470962e-05,True,3.0,13.666666666666666,0.10182041694401661,0.6640519820493642,0.17169067043872283,1.0,0.6640519820493642,0.4944026447788417
97,NDB,,,,,,,,,,
98,TRS,,,,,,,,,,
99,BST,5.0573707642233815e-06,True,5.0,13.8,0.05467635948154856,0.6291051332468728,0.1369264840094001,0.8,0.6318325242056209,0.4956960157402853
100,VAL,7.341468005672679e-08,True,5.0,23.0,0.08575406609223794,0.8026602518749115,0.3041606849370857,1.0,0.8026602518749115,0.4940725244072524
101,VM,0.00028728521116105855,True,2.0,11.0,0.03943184716931919,0.8847858399055109,0.39426058329613023,1.0,0.8847858399055109,0.4905252566093806
102,VPL,5.582926268897138e-09,True,7.0,21.285714285714285,0.09757766907053411,0.6818542312804607,0.178854554870149,1.0,0.6818542312804607,0.4976630205030649
103,VPLpc,,,,,,,,,,
