,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
23,VISli,0.7949800814159189,False,2.0,21.5,0.018139189649988674,0.5445292436953222,-0.026377587008300285,0.0,,0.5709068307036225
24,VISpor,0.41006569594926034,False,2.0,41.0,0.05205395146074282,0.5618118565990826,0.006073803471048356,0.0,,0.5557380531280343
25,ACAd,0.21837512258840908,False,9.0,20.11111111111111,0.03713445941873007,0.5743374980105045,0.0035574454030663505,0.1111111111111111,0.6249379871230092,0.5588922493032082
26,ACAv,0.6830822901331612,False,6.0,17.333333333333332,0.040244666061146496,0.5560515155647894,-0.03071077661518512,0.0,,0.5559392029927018
27,PL,0.04837601061664809,True,8.0,32.375,0.07834519771989451,0.5917714230766316,0.02484110126044492,0.25,0.7257923223489938,0.5846055366591081
28,ILA,0.27615506780445426,False,7.0,32.0,0.04132189625967279,0.5824582725652243,0.016875258799171955,0.0,,0.5753703703703704
29,ORBl,0.8378937534433566,False,6.0,23.0,0.023466598196508353,0.5735414665205097,-0.002936505243848586,0.0,,0.5781545679122966
30,ORBm,0.41742381202031537,False,3.0,48.333333333333336,0.08224856780193637,0.5359308616569305,-0.02367063540829406,0.0,,0.5596014970652246
31,ORBv,,,,,,,,,,
32,ORBvl,0.011950746519331753,True,5.0,75.2,0.04385555799474834,0.6170539551169824,0.03975829584170132,0.2,0.6902826855123674,0.5642746063629884
33,AId,0.015577205400490795,True,6.0,24.5,0.045885018084976144,0.612415705891322,0.024816850519902844,0.3333333333333333,0.612415705891322,0.5552301091179936
34,AIp,0.43151958967017057,False,3.0,19.666666666666668,0.04902838008184066,0.578560606060606,0.0015022193214857538,0.0,,0.5385732876530421
35,AIv,0.17647837891297763,False,4.0,25.5,0.056046027631502855,0.518887162751623,-0.0058537256612054,0.25,0.6297587258556422,0.5331836406693902
36,RSPagl,0.1861962596776917,False,6.0,22.666666666666668,0.035240303287804364,0.5827596635217683,0.014899048913382507,0.0,,0.5651065063809291
37,RSPd,0.7996639476603449,False,6.0,18.166666666666668,0.03777771823991767,0.5708948330378032,-0.006263429994539216,0.0,,0.5666225544899268
