,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
212,MT,,,,,,,,,,
213,SNc,,,,,,,,,,
214,PPN,0.00028728521116105855,True,2.0,15.0,0.03931431561947718,0.7185664144247726,0.19643280816806624,1.0,0.7185664144247726,0.5221336062567064
215,IF,,,,,,,,,,
216,IPN,,,,,,,,,,
217,RL,,,,,,,,,,
218,CLI,,,,,,,,,,
219,DR,,,,,,,,,,
220,NLL,,,,,,,,,,
221,PSV,,,,,,,,,,
222,PB,0.02830670219343677,True,2.0,16.0,0.0553788043938952,0.579259239176504,0.057482344305606725,0.5,0.6346380435703992,0.5217768948708973
223,SOC,,,,,,,,,,
224,B,,,,,,,,,,
225,DTN,,,,,,,,,,
226,PDTg,,,,,,,,,,
227,PCG,,,,,,,,,,
228,PG,,,,,,,,,,
229,PRNc,0.00028728521116105855,True,2.0,22.0,0.06210669057583762,0.7586295352642458,0.23402293711402283,1.0,0.7586295352642458,0.524606598150223
230,SG,,,,,,,,,,
231,SUT,,,,,,,,,,
232,TRN,,,,,,,,,,
233,V,,,,,,,,,,
234,P5,,,,,,,,,,
235,Acs5,,,,,,,,,,
236,PC5,,,,,,,,,,
237,I5,,,,,,,,,,
238,CS,0.00028728521116105855,True,2.0,16.5,0.033321621999056916,0.7190827407776463,0.1849625794975447,1.0,0.7190827407776463,0.5341201612801016
239,LC,,,,,,,,,,
240,LDT,,,,,,,,,,
241,NI,,,,,,,,,,
242,PRNr,3.252558485066396e-10,True,7.0,19.571428571428573,0.05478948929361076,0.6701508246649274,0.14427500767146328,1.0,0.6701508246649274,0.5298832116788321
243,RPO,,,,,,,,,,
244,SLC,,,,,,,,,,
245,SLD,,,,,,,,,,
246,AP,,,,,,,,,,
247,DCO,0.00801006281344433,True,2.0,15.0,0.17171958474369398,0.7155207253338255,0.19246349954075065,0.5,0.8872403100775195,0.5230572257930748
248,VCO,,,,,,,,,,
249,CU,,,,,,,,,,
250,GR,,,,,,,,,,
251,ECU,,,,,,,,,,
252,NTB,,,,,,,,,,
253,NTS,,,,,,,,,,
254,SPVC,,,,,,,,,,
255,SPVI,0.09782435453160868,False,3.0,11.333333333333334,0.09831179879366375,0.5240277777777779,0.02613049095607245,0.3333333333333333,0.6965426356589147,0.4978972868217054
256,SPVO,,,,,,,,,,
257,Pa5,,,,,,,,,,
258,VI,,,,,,,,,,
259,VII,,,,,,,,,,
260,AMB,,,,,,,,,,
261,DMX,,,,,,,,,,
262,GRN,1.5675915742518252e-06,True,6.0,15.5,0.12362159362604108,0.7973165219536076,0.25429515305211675,0.8333333333333334,0.8165070980521623,0.5514437421140319
263,ICB,,,,,,,,,,
264,IO,,,,,,,,,,
265,IRN,2.1280955039539954e-05,True,5.0,13.2,0.11479854878679548,0.6651034565722994,0.1409551563706285,0.6,0.7676087746206006,0.5349555613890347
266,ISN,,,,,,,,,,
267,LIN,,,,,,,,,,
268,LRN,,,,,,,,,,
269,MARN,,,,,,,,,,
270,MDRN,0.4429478471738123,False,2.0,10.0,0.03831666254228974,0.5359266373977737,0.000296331324994098,0.0,,0.5356303060727796
271,PARN,5.9597261132845706e-05,True,3.0,12.666666666666666,0.04844183161211339,0.6765487421383648,0.12863040479540822,1.0,0.6765487421383648,0.5381931442572174
272,PAS,,,,,,,,,,
273,PGRN,,,,,,,,,,
274,NR,,,,,,,,,,
275,PRP,,,,,,,,,,
276,PMR,,,,,,,,,,
277,PPY,,,,,,,,,,
278,LAV,,,,,,,,,,
279,MV,0.00023964294424664868,True,3.0,18.0,0.07256930676951552,0.6169561111795376,0.11124723672066306,0.6666666666666666,0.6810011192069128,0.5204577267637178
280,SPIV,,,,,,,,,,
281,SUV,,,,,,,,,,
282,x,,,,,,,,,,
283,XII,,,,,,,,,,
284,y,,,,,,,,,,
285,RM,,,,,,,,,,
286,RPA,,,,,,,,,,
287,RO,,,,,,,,,,
288,LING,,,,,,,,,,
289,CENT2,0.0010517796063503966,True,4.0,16.75,0.054819939587369367,0.5980849288066139,0.08212057645965981,0.5,0.6314077266573088,0.5116180657045426
290,CENT3,0.003111177344511047,True,3.0,24.333333333333332,0.12436096057720392,0.5934747669559627,0.054128674451975334,0.3333333333333333,0.8372976752716766,0.5296132622521512
291,CUL4 5,1.6499586574455873e-07,True,9.0,29.0,0.12416367581699991,0.6067293136442833,0.10726254777126737,0.5555555555555556,0.6307418021860838,0.5122721645230072
292,DEC,,,,,,,,,,
293,FOTU,,,,,,,,,,
294,PYR,,,,,,,,,,
295,UVU,,,,,,,,,,
296,NOD,0.22572645819898654,False,2.0,13.0,0.0011843119228029941,0.5196110159377423,0.014847485069255428,0.0,,0.5047635308684868
297,SIM,3.0975917355877414e-08,True,6.0,28.5,0.07773123561567805,0.6726036127278748,0.13743259559641974,1.0,0.6726036127278748,0.5294057880879435
298,ANcr1,0.00588640924412239,True,4.0,32.25,0.0359264709158488,0.6017886430257477,0.06271807313852201,0.25,0.633471498234404,0.5229722614914918
299,ANcr2,0.8542456854264474,False,2.0,51.5,0.00508819457295806,0.48671212619688964,-0.010474050405650581,0.0,,0.4971861766025402
300,PRM,0.0028082752298352965,True,3.0,25.0,0.07090905707444708,0.6662393162393163,0.11086478315262727,0.6666666666666666,0.6675514763014764,0.5192448680351905
301,COPY,0.002096098293335227,True,2.0,14.5,0.07993281130613245,0.6450112602822344,0.13522207206708714,1.0,0.6450112602822344,0.5097891882151473
302,PFL,,,,,,,,,,
303,FL,,,,,,,,,,
304,FN,,,,,,,,,,
305,IP,0.0014576149620390572,True,2.0,62.5,0.0767958269624579,0.7331369122337756,0.20821591744392792,1.0,0.7331369122337756,0.5249209947898477
306,DN,,,,,,,,,,
307,VeCB,,,,,,,,,,
