,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
37,RSPd,0.4091419304572014,False,7.0,17.142857142857142,0.003097802765630343,-0.0080838103654509,-0.0007347459138388,0.0,,-0.0073167488786276
38,RSPv,0.009665331874622648,True,9.0,19.444444444444443,0.17551877418766726,-0.0061598681327096,0.0006826562149834011,0.2222222222222222,0.2804291306692572,-0.0059264192027008
39,VISa,0.37177191891156475,False,25.0,23.88,0.06329410060762274,-0.0091509823866775,-0.0006086565779796996,0.12,0.0091973105120465,-0.0095872309050752
40,VISrl,0.9434585752282448,False,2.0,21.0,0.0010627280849064002,-0.0139675033419556,-0.005369670325571851,0.0,,-0.00859783301638375
41,TEa,0.22975270709632553,False,5.0,26.0,0.014739486002191615,-0.0076865189916498,-0.0014462292191166001,0.2,0.0250148437007686,-0.0081312968602843
42,PERI,,,,,,,,,,
43,ECT,0.3482944296095945,False,4.0,13.5,0.002629378412786806,-0.0069928741447163,0.0006263361104826501,0.0,,-0.00824950053327295
44,MOB,,,,,,,,,,
45,AOB,,,,,,,,,,
46,AON,0.2766976156140056,False,8.0,31.25,0.007852051640263478,-0.0078042545318107994,0.0007374189570658,0.125,0.0124909815430034,-0.0067081439409821
47,TTd,0.551759653057454,False,7.0,24.857142857142858,0.003847145625421014,-0.0074484083342089,0.00038441159454,0.14285714285714285,-0.0035720225020261,-0.0071578476774771
48,TTv,,,,,,,,,,
49,DP,0.7892035896594272,False,8.0,23.125,0.0036584213289264375,-0.00854715688005485,-0.0006903943696180003,0.0,,-0.0073543618310097005
50,PIR,0.06101755692809758,False,10.0,32.3,0.005682428853552708,-0.006003245043355801,0.0010290412747574,0.1,0.0108507409606656,-0.00635861905472195
51,NLOT,,,,,,,,,,
52,COAa,,,,,,,,,,
53,COAp,0.06840099219334858,False,3.0,20.0,0.007376256690741708,-0.0038745748180702,0.0021059788711969003,0.3333333333333333,0.0081825092463881,-0.0095714551275391
54,PAA,0.02210991489047844,True,2.0,22.0,0.0006047838554901,-0.0022835175449323,0.0022399764109502004,0.5,-0.0028883014004224,-0.0045234939558825
55,TR,,,,,,,,,,
